"date","daten","pack","indiv","sex","agecategory","status","stend","code","exact","lseen","cause","litter"
2001-04-04,36985,"1B","B0102","","","","","1STMO","Y","","","B0102"
2001-04-04,36985,"2","9U","F","AD","","","BIRTH","Y","","","T0102"
2001-04-05,36986,"2","87","F","AD","","","BIRTH","N","03/02/2001","","T0102"
2001-01-15,36906,"2","TF027","F","","","START","BORN","Y","","","T0101"
2001-01-15,36906,"2","TM028","M","","","START","BORN","Y","","","T0101"
2001-01-15,36906,"2","TF029","F","","","START","BORN","Y","","","T0101"
2001-01-15,36906,"2","TM030","M","","","START","BORN","Y","","","T0101"
2001-09-24,37158,"4B","","","","","","SOES","Y","","","ESF0102"
2001-09-26,37160,"2","T0105","","PUP","","","1STMO","Y","","","T0105"
2001-09-27,37161,"11","D0103","","","","","BORN","Y","","","D0103"
2001-09-27,37161,"11","Q2","F","AD","","","BIRTH","Y","","","D0103"
2001-09-27,37161,"11","Q5","F","AD","","","BIRTH","Y","","","D0103"
2001-09-28,37162,"1H","H0104","","","","","BORN","N","22/09/2001","","H0104"
2001-09-28,37162,"1H","HF001","F","AD","","","BIRTH","N","22/09/2001","","H0104"
2001-09-28,37162,"1H","C8","F","AD","","","FPREG","Y","","","H0105"
2001-09-29,37163,"2","TP048","P","PUP","","START","BORN","Y","","","T0105"
2004-05-07,38114,"4B","FM088","M","","","START","BORN","Y","","","F0402"
1997-11-04,35738,"7","3G","F","","","","BIRTH","N","02/11/1997","","7-02"
2001-09-19,37153,"4B","FM033","M","PUP","","START","BORN","Y","","","F0104"
2001-09-19,37153,"4B","FM034","M","PUP","","START","BORN","Y","","","F0104"
2001-02-05,36927,"2","T0101","","","","","EMERGE","Y","","","T0101"
1996-03-20,35144,"1B","31","F","","","","BIRTH","Y","","","B9602"
1998-08-12,36019,"1B","L7","F","","","END","ADIED","Y","","","B04"
2004-03-04,38050,"4B","","","","","","IGI","Y","","1H",""
2004-03-05,38051,"12","VF007","F","AD","NONB","","EOES","Y","","","ESV0401"
2004-03-06,38052,"4B","","","","","","SOES","N","04/03/2004","","ESF0401"
2004-03-08,38054,"7A","GP012","P","PUP","","END","ADIED","N","05/03/2004","","G0401"
2004-03-08,38054,"1C","CH","M","AD","","END","ADIED","N","06/03/2004","",""
2004-03-18,38064,"1B","BF134","F","AD","","","ENDEV","Y","","",""
2004-03-23,38069,"7A","GF004","F","AD","","END","DIED","Y","","SICK",""
2004-03-23,38069,"1B","BM064","M","AD","","","ENDEV","Y","","",""
2004-03-25,38071,"11","","","","","","SOES","Y","","","ESD0403"
2004-03-25,38071,"4B","","","","","","SOES","Y","","","ESF0402"
2004-03-26,38072,"11","","","","","","IGI","Y","","2",""
2004-03-26,38072,"2","","","","","","IGI","Y","","11",""
2004-03-26,38072,"11","DM011","M","AD","","END","ADIED","Y","","",""
2004-03-27,38073,"1K","AU","F","AD","MULTI","","BIRTH","Y","","","K0402"
2004-03-27,38073,"1K","AV","F","AD","MULTI","","BIRTH","Y","","","K0402"
2000-02-17,36573,"1B","9E","F","AD","","","FPREG","Y","","","B0001"
2000-02-18,36574,"1C","C0001","","","","","LOST","N","08/02/2000","","C0001"
2000-02-19,36575,"X","X","","","","","IGI","Y","","1B",""
2015-10-27,42304,"17","SP055","P","PUP","DEP","START","BORN","N","","","S1504"
2016-03-07,42436,"7A","GF096","F","AD","MULTI","","ABORT","Y","","EVICTION","G1601"
